
Interrupt method selected.

Period, Pulse_Width, BG_Tasks Run, Latency, Missed, Multiple.

Please, press PB0 to continue.
702, 351, 8224, 231, 0, 0
704, 352, 8243, 231, 0, 0
706, 353, 8262, 231, 0, 0
708, 354, 8287, 231, 0, 0
710, 355, 8334, 231, 0, 0
712, 356, 8401, 232, 0, 0
714, 357, 8377, 231, 0, 0
716, 358, 8354, 231, 0, 0
718, 359, 8331, 231, 0, 0
720, 360, 8398, 231, 0, 0
722, 361, 8399, 231, 0, 0
724, 362, 8407, 231, 0, 0
726, 363, 8425, 231, 0, 0
728, 364, 8454, 231, 0, 0
730, 365, 8458, 231, 0, 0
732, 366, 8474, 231, 0, 0
734, 367, 8494, 231, 0, 0
736, 368, 8515, 231, 0, 0
738, 369, 8531, 231, 0, 0
740, 370, 8553, 231, 0, 0
742, 371, 8578, 231, 0, 0
744, 372, 8576, 231, 0, 0
746, 373, 8612, 231, 0, 0
748, 374, 8612, 231, 0, 0
750, 375, 8640, 231, 0, 0
752, 376, 8648, 231, 0, 0
754, 377, 8654, 231, 0, 0
756, 378, 8674, 231, 0, 0
758, 379, 8695, 231, 0, 0
760, 380, 8745, 231, 0, 0
762, 381, 8723, 231, 0, 0
764, 382, 8741, 231, 0, 0
766, 383, 8740, 231, 0, 0
768, 384, 8769, 231, 0, 0
770, 385, 8804, 231, 0, 0
772, 386, 8806, 231, 0, 0
774, 387, 8814, 231, 0, 0
776, 388, 8826, 231, 0, 0
778, 389, 8844, 231, 0, 0
780, 390, 8859, 231, 0, 0
782, 391, 8925, 231, 0, 0
784, 392, 8902, 231, 0, 0
786, 393, 8881, 231, 0, 0
788, 394, 8908, 231, 0, 0
790, 395, 8914, 231, 0, 0
792, 396, 8928, 231, 0, 0
794, 397, 8949, 231, 0, 0
796, 398, 8948, 231, 0, 0
798, 399, 8975, 231, 0, 0
800, 400, 8975, 231, 0, 0
802, 401, 9003, 231, 0, 0
804, 402, 9020, 231, 0, 0
806, 403, 9073, 231, 0, 0
808, 404, 9051, 231, 0, 0
810, 405, 9067, 231, 0, 0
812, 406, 9080, 231, 0, 0
814, 407, 9101, 231, 0, 0
816, 408, 9103, 231, 0, 0
818, 409, 9130, 231, 0, 0
820, 410, 9122, 231, 0, 0
822, 411, 9166, 231, 0, 0
824, 412, 9144, 231, 0, 0
826, 413, 9175, 231, 0, 0
828, 414, 9197, 231, 0, 0
830, 415, 9211, 231, 0, 0
832, 416, 9215, 231, 0, 0
834, 417, 9224, 231, 0, 0
836, 418, 9225, 231, 0, 0
838, 419, 9256, 231, 0, 0
840, 420, 9251, 231, 0, 0
842, 421, 9265, 231, 0, 0
844, 422, 9279, 231, 0, 0
846, 423, 9296, 231, 0, 0
848, 424, 9333, 231, 0, 0
850, 425, 9386, 237, 0, 0
852, 426, 9365, 231, 0, 0
854, 427, 9343, 231, 0, 0
856, 428, 9323, 231, 0, 0
858, 429, 9375, 231, 0, 0
860, 430, 9379, 231, 0, 0
862, 431, 9378, 231, 0, 0
864, 432, 9391, 231, 0, 0
866, 433, 9414, 231, 0, 0
868, 434, 9415, 231, 0, 0
870, 435, 9426, 231, 0, 0
872, 436, 9436, 231, 0, 0
874, 437, 9456, 231, 0, 0
876, 438, 9468, 231, 0, 0
878, 439, 9489, 231, 0, 0
880, 440, 9498, 231, 0, 0
882, 441, 9512, 231, 0, 0
884, 442, 9528, 231, 0, 0
886, 443, 9533, 231, 0, 0
888, 444, 9548, 231, 0, 0
890, 445, 9553, 231, 0, 0
892, 446, 9573, 231, 0, 0
894, 447, 9571, 231, 0, 0
896, 448, 9587, 231, 0, 0
898, 449, 9626, 231, 0, 0
900, 450, 9606, 231, 0, 0
902, 451, 9618, 231, 0, 0
904, 452, 9654, 231, 0, 0
906, 453, 9638, 231, 0, 0
908, 454, 9667, 231, 0, 0
910, 455, 9646, 231, 0, 0
912, 456, 9688, 231, 0, 0
914, 457, 9679, 231, 0, 0
916, 458, 9691, 231, 0, 0
918, 459, 9705, 231, 0, 0
920, 460, 9758, 231, 0, 0
922, 461, 9737, 231, 0, 0
924, 462, 9717, 231, 0, 0
926, 463, 9743, 231, 0, 0
928, 464, 9741, 231, 0, 0
930, 465, 9773, 231, 0, 0
932, 466, 9786, 231, 0, 0
934, 467, 9765, 231, 0, 0
936, 468, 9805, 231, 0, 0
938, 469, 9816, 231, 0, 0
940, 470, 9809, 231, 0, 0
942, 471, 9823, 231, 0, 0
944, 472, 9863, 231, 0, 0
946, 473, 9842, 231, 0, 0
948, 474, 9855, 231, 0, 0
950, 475, 9863, 231, 0, 0
952, 476, 9879, 231, 0, 0
954, 477, 9882, 231, 0, 0
956, 478, 9896, 231, 0, 0
958, 479, 9907, 231, 0, 0
960, 480, 9904, 231, 0, 0
962, 481, 9909, 231, 0, 0
964, 482, 9934, 231, 0, 0
